Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
"AHS Southcrest Hospital, LLC dba Hillcrest Hospital South","8801 South 101st East Avenue Tulsa, OK",d,c,c,c,d,d,d,0.88,0.236,0.692,0.435,0.81,0,0.88,167.67,0.21,9.01,3.77,1.52,100,45,-2,75,79,-2,1.82,1.182,0,-2,-2,-2,5,89,90,82
AMITA Health Alexian Brothers Medical Center Elk Grove Village,"800 Biesterfield Road Elk Grove Village, IL",b,b,b,b,b,a,a,0.227,0.731,0.345,0.832,0.606,0.076,1,134.49,0.17,5.09,7.24,1.66,100,100,60,75,86,120,0.52,1.061,0,100,120,100,100,90,91,84
AMITA Health Saints Mary and Elizabeth Medical Center Chicago,"2233 W. Division Street Chicago, IL",a,a,a,a,a,a,a,0.664,0.427,0.388,0.292,1.533,0,1.16,174.97,0.21,7.04,3.31,0.98,100,100,60,78,88,120,0.09,0.391,0,100,120,100,100,92,92,83
Abbeville General Hospital,"118 North Hospital Drive Abbeville, LA",b,c,c,b,ns,c,c,-1,0.436,-1,-1,-1,0,0.93,-1,0.26,7.72,4.3,1.12,70,75,60,81,85,120,0.25,0.778,0,100,120,100,5,96,94,87
AMITA Health St. Alexius Medical Center Hoffman Estates,"1555 Barrington Road Hoffman Estates, IL",a,a,a,b,a,a,a,0.223,0.442,0.741,0.687,1.173,0,0.83,154.45,0.34,7.05,4.76,1.32,100,100,60,77,86,120,0.45,0.102,0,100,120,100,100,89,91,83
AMITA Health St. Mary's Hospital Kankakee,"500 W. Court Street Kankakee, IL",b,a,b,a,c,c,c,0,0.37,2.255,0.923,2.922,0,0.9,159.65,0.28,5,3.07,1.38,100,75,60,81,87,120,0.36,0.25,0,100,110.77,100,5,94,94,89
Abbott Northwestern Hospital,"800 E. 28th Street Minneapolis, MN",b,b,c,c,b,c,a,0.262,0.704,0.789,1.256,0.682,0,1.47,174.04,0.26,7.58,4.17,1.03,70,100,60,80,89,110.77,0.4,0.143,0,90.91,120,100,15,94,93,87
Abilene Regional Medical Center,"6250 US Highway 83 Abilene, TX",c,b,c,c,c,c,c,-1,0.255,0,0.402,0.615,0,1.17,155.67,0.3,4.94,2.58,1.36,-2,-2,-2,79,85,-2,0.59,1.171,0,-2,-2,-2,5,91,91,86
Abington Memorial Hospital,"1200 Old York Road Abington, PA",a,a,a,a,b,b,b,0.342,0.233,0.667,0.96,1.144,0,0.74,164.22,0.27,4.79,4.45,1.61,100,100,60,79,86,120,0.18,1.027,0,100,120,100,100,90,93,84
Abington Health Lansdale Hospital,"100 Medical Campus Drive Lansdale, PA",b,a,a,a,a,a,a,-1,0.642,0.782,0.878,0,0,0.91,-1,0.23,5.01,3.22,1.1,100,100,-2,80,86,-2,0.63,1.346,0,-2,-2,-2,5,93,93,87
AMITA Health Adventist Medical Center Bolingbrook,"500 Remington Boulevard Bolingbrook, IL",a,a,a,a,a,b,b,-1,0.522,0.554,0,0,0,0.92,155.58,0.29,12.09,3.82,1.14,100,100,60,75,84,120,0.17,0,0,100,120,100,100,89,90,82
AMITA Health Adventist Medical Center La Grange,"5101 S. Willow Springs Road La Grange, IL",a,a,a,a,a,a,a,0.789,0.622,0,0.308,0.457,0,0.86,157.17,0.2,7.09,5.33,1.19,100,100,60,82,90,110.77,0.08,0.272,0,100,120,100,100,92,94,90
Abrazo Arrowhead Campus,"18701 North 67th Avenue Glendale, AZ",a,a,a,a,a,b,b,1.055,0.61,0.331,0.212,0,0.127,0.82,123.67,0.21,10.16,3.13,1.22,100,100,60,78,85,120,0.58,0.254,0,100,110.77,100,100,89,89,84
Abrazo Central Campus,"2000 West Bethany Home Road Phoenix, AZ",a,a,b,b,a,b,c,0,0.777,0.379,1.205,0,0,0.91,132.8,0.25,-1,3.3,1.14,100,75,60,78,80,120,0.18,0.437,0,100,120,100,100,87,88,83
Abrazo West Campus,"13677 West McDowell Road Goodyear, AZ",b,a,a,a,a,a,a,0,0.308,0,0,0,0.206,0.89,179.84,0.26,-1,3.28,1.1,100,100,60,78,84,120,0.14,0.617,0,100,120,100,50,87,88,83
Abrazo Scottsdale Campus,"3929 East Bell Road Phoenix, AZ",b,b,c,b,c,b,b,-1,0.679,0.374,0.333,-1,0,0.93,145.49,0.3,-1,4.03,1.5,100,75,60,80,86,120,0.58,0.977,0,100,120,100,100,90,89,82
Addison Gilbert Hospital,"298 Washington Street Gloucester, MA",b,b,a,a,a,a,a,-1,0.806,-1,-1,-1,0,1.12,156.4,0.22,9.31,4.29,1.18,100,100,60,77,88,92.31,0.07,0.424,0,100,120,100,50,91,93,85
Acadia General Hospital (American Legion Hospital),"1305 Crowley Rayne Highway Crowley, LA",c,b,b,b,c,c,b,-1,1.865,0,1.01,-1,0,0.9,155.86,0.25,6.4,3.47,1.72,70,75,60,83,90,120,0.24,0.42,0,100,110.77,100,5,96,93,80
Adena Regional Medical Center,"272 Hospital Road Chillicothe, OH",a,b,b,c,b,b,b,0.981,0.31,1.611,0,0.82,0,0.83,142.34,0.25,5.99,2.51,0.9,100,75,60,82,88,120,0.2,0.514,0,100,120,100,50,89,91,86
Adirondack Medical Center - Saranac Lake,"2233 State Route 86 Saranac Lake, NY",b,c,b,b,c,d,c,-1,1.042,-1,-1,0,0,0.91,-1,0.26,7.87,2.87,1.73,45,45,-2,82,91,-2,0.26,0.604,0,-2,-2,-2,5,94,95,91
AdventHealth Altamonte Springs,"601 East Altamonte Drive Altamonte Springs, FL",a,a,a,a,a,a,b,0,0.427,1.797,0.403,0.494,0,0.85,155.82,0.21,8.28,4.68,1.12,100,75,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth Carrollwood,"7171 North Dale Mabry Highway Tampa, FL",a,a,a,a,a,a,a,-1,0.084,0.638,0.648,0,0,0.92,165.6,0.25,7.9,3.77,1.18,100,100,42,79,89,110.77,0.66,0.405,0,90.91,110.77,100,100,91,93,87
AdventHealth Apopka,"2100 Ocoee Apopka Road Apopka, FL",a,a,a,a,a,a,b,-1,0.327,-1,0,0,0,0.85,155.82,0.21,8.28,4.68,1.12,100,100,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth Celebration,"400 Celebration Place Celebration, FL",a,a,a,a,a,a,b,0,0.502,0.499,0.604,1.286,0,0.85,155.82,0.21,8.28,4.68,1.12,100,75,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth Central Texas,"2201 S CLEAR CREEK RD Killeen, TX",c,b,a,a,a,a,a,0,1.301,2.42,0.576,0,0,1.5,177.87,0.34,6.38,2.88,1.47,100,100,60,76,87,120,0.18,0.931,0,100,120,94.12,100,91,89,81
AdventHealth Dade City,"13100 Fort King Road Dade City, FL",b,b,ns,ns,ns,ns,ns,-1,0.503,-1,0,-1,0,0.93,-1,0.25,9.06,3.34,1.17,100,100,60,72,84,120,0.33,0.82,0,100,110.77,100,100,87,89,85
AdventHealth DeLand,"701 W. Plymouth Avenue DeLand, FL",a,a,a,a,a,a,a,0,0.353,0.261,0.601,0,0,0.9,158.41,0.34,16.47,3.39,1.41,100,100,60,82,90,120,0.14,0,0,100,120,100,100,91,92,85
AdventHealth East Orlando,"7727 Lake Underhill Road Orlando, FL",a,a,a,a,a,a,b,0.82,0.363,0.24,0.461,0.993,0,0.85,155.82,0.21,8.28,4.68,1.12,100,75,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth Daytona Beach,"301 Memorial Medical Parkway Daytona Beach, FL",a,a,a,a,a,a,a,0,0.261,0.881,0.518,0.216,0,1.34,130.06,0.27,8.43,3.52,1.73,100,100,60,79,90,120,0.14,0.352,0,100,120,100,100,91,92,86
AdventHealth Fish Memorial,"1055 Saxon Boulevard Orange City, FL",a,a,a,a,a,a,a,1.637,0.796,0.336,1.116,0.374,0,0.88,172.96,0.21,11.44,3.78,1.26,100,100,60,81,89,120,0.48,0,0.155,100,120,100,100,91,93,89
AdventHealth Gordon,"1035 Red Bud Road Calhoun, GA",a,a,a,a,a,a,a,-1,0.795,-1,0.614,1.833,0,0.9,157.69,0.24,11.91,5.08,1.14,100,100,60,80,90,110.77,0.17,0,0,100,110.77,100,50,94,93,85
AdventHealth Hendersonville,"100 Hospital Drive Hendersonville, NC",a,a,a,a,a,a,a,-1,0.325,-1,0.652,0,0,0.91,-1,0.25,7.43,3.08,1.39,100,75,48,81,92,120,0.21,0,0,100,120,100,100,94,93,86
AdventHealth Lake Placid,"1210 US Hwy 27N Lake Placid, FL",b,a,a,a,a,a,a,-1,1.063,-1,-1,-1,0,0.82,141.36,0.37,9.17,3.48,1.37,100,100,60,74,88,120,0.18,0.492,0,100,110.77,100,50,89,90,83
AdventHealth Lake Wales,"410 S. 11th Street Lake Wales, FL",c,c,d,d,d,d,d,-1,0.99,1.68,0.637,-1,0,0.93,-1,0.34,10.6,3.23,1.19,100,100,60,70,78,110.77,0.22,0.756,0,100,120,100,50,86,86,79
AdventHealth Kissimmee,"2450 North Orange Blossom Trail Kissimmee, FL",a,b,a,a,a,a,c,3.213,0.232,0.415,0.434,0,0,0.85,155.82,0.21,8.28,4.68,1.12,100,100,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth New Smyrna Beach,"401 Palmetto Street New Smyrna Beach, FL",b,b,a,b,c,c,d,0.924,0.216,0,0,0,0,0.9,163.21,0.23,12.85,5.97,1.4,100,100,60,76,87,120,1.92,0.779,0,100,120,100,100,90,89,82
AdventHealth North Pinellas,"1395 South Pinellas Avenue Tarpon Springs, FL",a,a,a,a,a,a,a,0.951,0.229,-1,0,0,0,0.92,156.27,0.23,8.17,3.71,1.47,100,100,60,78,88,120,0.17,0.559,0,100,120,100,100,91,92,88
AdventHealth Ocala,"1500 SW 1st Avenue Ocala, FL",b,b,d,d,c,d,d,0.806,0.5,0.229,0.257,1.156,0,1.05,161.79,0.22,6.88,4.01,0.74,100,100,60,68,81,120,0.37,0.242,0,100,120,100,100,87,87,77
AdventHealth Ottawa,"1301 S. Main Street Ottawa, KS",a,c,ns,ns,ns,ns,ns,-1,0,-1,-1,-1,0,0.94,-1,0.31,6.52,3.95,1.26,70,50,60,79,88,120,0.36,0,0,100,120,100,5,94,93,86
AdventHealth Orlando,"601 East Rollins Street Orlando, FL",a,a,a,a,a,a,b,0.217,0.338,0.146,0.361,1.073,0,0.85,155.82,0.21,8.28,4.68,1.12,100,75,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth Palm Coast,"60 Memorial Medical Parkway Palm Coast, FL",a,a,a,a,a,a,b,0.769,0.605,0.606,1.033,0.626,0,0.86,173.86,0.33,6.67,4.64,1.54,100,100,60,77,88,120,0.11,0.712,0,100,120,100,100,90,92,86
AdventHealth Sebring,"4200 Sun N Lake Blvd Sebring, FL",a,a,a,a,a,b,b,1.038,0.431,0.887,0.386,0,0,0.82,141.36,0.37,9.17,3.48,1.37,100,100,60,74,88,120,0.18,0.492,0,100,110.77,100,100,89,90,83
AdventHealth Shawnee Mission,"9100 W. 74th Street Shawnee Mission, KS",a,a,a,a,a,a,a,0.218,0.689,0.391,0.45,0.563,0,1.01,137.83,0.17,8.51,2.56,1.07,100,100,54,80,89,120,0.26,0.355,0,100,120,100,100,93,94,87
AdventHealth Tampa,"3100 East Fletcher Avenue Tampa, FL",a,a,a,a,a,b,b,0.844,0.197,0.644,0.281,1.216,0,1.31,158.28,0.27,6.85,5.89,1.01,100,100,60,77,88,120,0.31,0.36,0,90.91,120,100,100,90,91,84
AdventHealth Waterman,"1000 Waterman Way Tavares, FL",a,a,a,a,a,a,a,1.046,0.287,0.954,0.91,0.238,0.072,1.51,162.56,0.23,8.79,6.34,1.33,100,100,60,81,89,120,0.15,0.503,0,100,120,100,100,90,92,88
AdventHealth Wesley Chapel,"2600 BRUCE B DOWNS BLVD WESLEY CHAPEL, FL",a,a,a,a,a,a,a,0.705,0.143,-1,0,0,0,0.9,135.54,0.23,7.28,3.22,1.41,100,100,60,80,89,110.77,0.18,0,0,100,110.77,100,100,92,93,89
AdventHealth Winter Park,"200 North Lakemont Avenue Winter Park, FL",a,a,a,a,a,a,b,0.563,0.226,0.306,0.759,0,0,0.85,155.82,0.21,8.28,4.68,1.12,100,75,60,82,89,120,0.33,0.576,0,100,120,100,100,91,93,85
AdventHealth Zephyrhills,"7050 Gall Blvd Zephyrhills, FL",a,a,a,a,a,b,b,0.708,0.16,0,0,0.986,0,0.88,143.04,0.43,6.17,4.06,1.04,100,100,60,78,89,120,0.13,0.713,0,100,110.77,100,100,90,92,86
Adventhealth Heart of Florida,"40100 US-27 Davenport, FL",b,a,a,b,c,f,c,0.807,0.263,0,0,0,0,0.9,166.27,0.3,6.52,4.25,1.07,40,100,60,71,80,120,0.41,0,0,100,120,100,100,87,85,77
Adventist Health - Bakersfield,"2615 Chester Avenue Bakersfield, CA",a,a,a,a,a,a,b,0.569,0.22,1.081,0.413,0.585,0,0.85,177.78,0.36,6.28,3.66,1.15,100,100,60,78,85,120,0.43,0.4,0,100,120,100,100,90,89,83
Adventist Health Castle,"640 Ulukahiki Street Kailua, HI",a,c,b,b,a,a,a,1.556,0.197,0.534,0.54,-1,0,0.91,178.32,0.28,6.98,4.23,1.44,100,100,54,84,92,120,0.75,0.31,0,100,120,88.24,100,94,93,88
Adventist Health Glendale,"1509 Wilson Terrace Glendale, CA",a,a,a,a,a,a,a,1.148,0.323,0.418,0.664,0.656,0,0.85,159.35,0.22,5.18,3.14,0.86,100,100,60,79,87,120,0.21,0.211,0,100,120,100,100,89,90,83
Adventist Health Lodi Memorial,"975 S. Fairmont Avenue Lodi, CA",b,a,a,b,b,c,c,2.371,0.404,1.063,2.672,0,0,0.87,160.09,0.25,6.81,3.21,1.3,100,75,60,78,88,120,0.1,0,0,90.91,120,100,100,89,92,85
Adventist Health Portland Medical Center,"10123 SE Market St Portland, OR",a,a,a,a,a,a,a,0,0.266,0,0.744,0,0,0.91,160.72,0.22,6.5,3.4,1.33,100,50,60,79,89,120,0.62,0.235,0,100,110.77,100,5,92,92,85
Adventist Health Simi Valley,"2975 N. Sycamore Drive Simi Valley, CA",b,b,a,b,b,b,c,0.711,0,0.71,0,0,0.186,1.47,156.29,0.31,5.87,4.68,1.06,100,75,60,78,86,120,0.14,0.372,0,100,120,100,100,86,90,86
Adventist Health Sonora,"1000 Greenley Road Sonora, CA",b,c,b,b,f,c,c,-1,0.189,0,0,2.182,0.21,1.18,175.75,0.22,6.99,2.94,1.04,100,75,60,80,91,120,0.15,0.63,0,100,120,100,5,89,91,87
Adventist Health St. Helena,"10 Woodland Road St. Helena, CA",b,c,b,a,c,c,c,-1,0.812,0,0.379,-1,0.196,0.89,163.81,0.31,6.1,3.28,1.29,100,75,30,81,90,120,0.81,0,0,100,120,88.24,100,92,93,87
Adventist Health Ukiah Valley,"275 Hospital Drive Ukiah, CA",a,a,a,b,b,c,a,-1,0.645,-1,-1,0,0,0.91,-1,0.24,8.01,3.77,1.11,100,75,60,81,90,120,0.22,0,0,100,120,100,100,90,90,87
Adventist Health White Memorial,"1720 Cesar E. Chavez Avenue Los Angeles, CA",b,a,a,a,b,c,b,0.987,0.217,1.503,0.68,0,0,1.24,164.64,0.22,8.17,5.31,1.12,100,75,60,79,88,120,1.18,0.207,0,100,120,100,100,90,90,82
Adventist Health and Rideout,"726 4th Street Marysville, CA",c,d,d,d,c,c,d,1.185,0.657,0,1.237,2.307,0,1.12,184.74,0.48,11.21,6.01,1.6,100,75,60,70,83,120,0.6,0.765,0,100,120,100,100,86,87,80
Adventist HealthCare Fort Washington Medical Center,"11711 Livingston Road Fort Washington, MD",c,c,c,b,f,d,ns,-1,0,-1,-1,-1,0,0.93,-1,0.25,6.83,3.41,1.22,70,75,60,68,83,120,0.59,0.407,0,100,120,100,100,86,85,77
Adventist HealthCare Shady Grove Medical Center,"9901 Medical Center Drive Rockville, MD",b,b,b,b,c,d,ns,0.608,0.529,0.582,1.835,0.229,0.09,0.84,158.07,0.18,6.14,4.45,1.11,100,100,54,72,86,120,0.31,0.716,0,100,120,100,100,88,89,78
Adventist HealthCare White Oak Medical Center,"11890 Healing Way Silver Spring, MD",b,b,b,b,c,c,ns,0.241,0.719,0.28,0.552,0.568,0,0.88,193.22,0.19,5.9,3.79,1.54,100,75,48,78,88,120,1.19,0.695,0,100,120,100,100,91,90,85
Adventist Medical Center Hanford,"115 Mall Drive Hanford, CA",a,a,b,b,b,b,b,1.193,0.555,0.808,0.46,0.881,0,1.16,176.8,0.26,5.06,2.23,0.94,100,100,60,80,86,120,0.28,0.29,0,100,120,100,100,89,89,83
Adventist Medical Center Selma,"1141 Rose Avenue Selma, CA",b,a,a,a,a,a,b,-1,1.865,-1,-1,-1,0,1.16,176.8,0.26,5.06,2.23,0.94,100,100,60,80,86,120,0.28,0.29,0,100,120,100,-1,89,89,83
Advocate BroMenn Medical Center,"1304 Franklin Avenue Normal, IL",c,c,b,b,b,b,a,0.745,0.556,0,0.558,0,0,0.9,176.47,0.22,10.71,4.52,1.39,45,45,-2,78,89,-2,0.42,0.952,0,-2,-2,-2,5,92,92,85
Advocate Christ Medical Center,"4440 95th Street Oak Lawn, IL",c,c,c,c,b,b,b,0.687,0.94,0.573,1.021,1.153,0.046,0.72,165,0.37,11.66,6.24,0.7,45,45,-2,77,88,-2,0.61,0.321,0,-2,-2,-2,85,91,92,86
Advocate Good Samaritan Hospital,"3815 Highland Avenue Downers Grove, IL",c,c,c,c,b,b,a,0,0.987,0.447,1.397,1.153,0.088,0.83,171.45,0.31,16.47,5.28,0.84,45,45,-2,79,90,-2,0.17,0.175,0,-2,-2,-2,5,93,93,86
Advocate Condell Medical Center,"801 S. Milwaukee Avenue Libertyville, IL",d,c,c,c,a,a,b,0.333,0.97,0.928,1.753,1.254,0,0.82,153.92,0.4,6.7,3.51,1.64,45,45,-2,77,87,-2,0.32,0.528,0,-2,-2,-2,5,90,91,85
Advocate Trinity Hospital,"2320 E. 93rd Street Chicago, IL",c,c,c,c,c,c,c,0,0.921,0.812,0.738,-1,0,0.91,158.28,0.22,9.04,5.19,1.1,45,45,-2,73,84,-2,0.11,0,0,-2,-2,-2,5,91,89,82
Advocate South Suburban Hospital,"17800 S. Kedzie Avenue Hazel Crest, IL",c,c,c,c,c,c,c,0.596,1.21,1.026,0.785,1.577,0,0.88,134.76,0.21,8.66,3.82,0.95,45,45,-2,78,85,-2,0.49,0.443,0,-2,-2,-2,5,91,91,84
Advocate Illinois Masonic Medical Center,"836 W. Wellington Avenue Chicago, IL",c,c,b,b,b,b,b,0.297,0.51,0.653,0.982,0.894,0.197,0.88,140.37,0.31,14.58,2.94,1.01,45,45,-2,79,87,-2,0.3,0.197,0,-2,-2,-2,65,91,92,87
Advocate Good Shepherd Hospital,"450 IL-22 Barrington, IL",c,c,c,c,b,b,b,0,0.742,0.993,0.224,0.544,0,0.82,149.53,0.27,9.76,4.78,1.5,45,45,-2,78,91,-2,0.48,0.551,0,-2,-2,-2,5,92,93,84
Alameda Hospital,"2070 Clinton Avenue Alameda, CA",f,d,c,c,d,d,d,-1,0.936,-1,1.925,-1,0,0.94,-1,0.25,6.89,4.04,1.23,5,5,-2,72,77,-2,0.21,0,0,-2,-2,-2,5,83,85,78
Alamance Regional Medical Center,"1240 Huffman Mill Road Burlington, NC",a,a,b,b,a,a,b,0.377,0.528,0,0.674,1.962,0,1.21,167.69,0.23,4.9,3.36,1.12,70,100,60,80,87,120,0.58,0.196,0,100,120,100,100,94,93,87
Albany Memorial Hospital,"600 Northern Boulevard Albany, NY",c,c,c,d,d,d,d,-1,0.585,-1,-1,-1,0,0.93,-1,0.26,7.59,3.21,1.19,-2,-2,-2,74,88,-2,0.26,1.107,0,-2,-2,-2,5,90,91,82
Aiken Regional Medical Centers,"302 University Parkway Aiken, SC",a,a,a,a,c,c,c,0.465,0.679,0.397,0.756,0.338,0,0.85,202.03,0.28,8.88,5.27,0.97,100,100,60,76,84,110.77,0.26,0.143,0,100,110.77,100,100,89,90,85
Albany Medical Center,"43 New Scotland Avenue Albany, NY",d,d,d,d,c,c,c,0.37,0.709,0.617,0.872,1.1,0.047,0.86,200.81,0.35,4.45,4.63,2.36,45,45,-2,75,84,-2,0.62,0.559,0,-2,-2,-2,5,88,90,82
Advocate Lutheran General Hospital,"1775 Dempster Street Park Ridge, IL",c,c,c,c,b,a,b,0.698,1.228,0.823,0.854,1.253,0,0.75,121.9,0.26,4.76,6.05,0.97,45,45,-2,77,88,-2,0.55,0.515,0,-2,-2,-2,45,91,92,85
Advocate Sherman Hospital,"1425 N. Randall Road Elgin, IL",b,b,b,b,b,b,a,0,0.767,0.698,0.75,0,0,0.81,128.96,0.26,6.61,3.38,0.78,45,45,-2,78,89,-2,0.07,0.479,0,-2,-2,-2,5,90,93,87
Alaska Regional Hospital,"2801 DEBARR ROAD Anchorage, AK",c,c,b,b,c,c,b,0.848,0.61,0.879,2.796,2.922,0,0.85,142.08,0.27,8.62,4.05,1.45,70,100,60,79,89,120,0.1,0.845,0,100,110.77,100,50,91,91,88
Alhambra Hospital Medical Center,"100 S. Raymond Avenue Alhambra, CA",a,a,a,a,b,c,b,-1,0.105,-1,0,0,0,0.93,-1,0.23,6.51,4.32,1.49,100,75,60,84,85,120,0.14,0,0,100,120,100,-2,90,90,88
Allegheny General Hospital,"320 East North Avenue Pittsburgh, PA",b,c,d,c,c,c,d,1.016,0.675,0.592,0.927,0.76,0,1.21,172.84,0.23,7.19,4.51,1.07,100,75,60,76,89,120,0.18,0.659,0,100,120,100,100,91,92,79
Alice Hyde Medical Center,"133 Park Street Malone, NY",d,c,d,d,c,c,c,-1,0,-1,-1,-1,0,0.94,-1,0.26,8.75,3.51,1.23,45,45,-2,75,87,-2,2.07,0.797,0,-2,-2,-2,5,91,91,86
Allegheny Valley Hospital,"1301 Carlisle Street Natrona Heights, PA",a,c,d,c,c,c,d,-1,0.277,0,1.559,0,0,0.93,-1,0.25,6.26,3.68,1.2,100,100,60,74,89,120,0.27,0.421,0,100,120,100,5,91,90,83
Alliance Community Hospital,"200 E. State Street Alliance, OH",c,c,c,c,b,b,c,-1,0.307,-1,-1,-1,0,0.93,-1,0.26,9.7,4.23,1.55,45,5,-2,80,91,-2,0.31,0,0,-2,-2,-2,5,93,93,88
Allen Hospital,"1825 Logan Avenue Waterloo, IA",b,b,c,b,b,a,a,0.528,0.385,0.571,0.258,0.887,0,0.87,163.69,0.26,3.51,2.35,0.98,70,100,60,80,90,110.77,0.32,0.794,0,90.91,110.77,100,5,92,92,83
AllianceHealth Ponca City,"1900 North 14th Street Ponca City, OK",a,a,b,b,c,a,c,-1,0.867,-1,-1,-1,0,0.91,-1,0.3,8.48,2.99,1.14,45,100,60,81,93,120,0.25,0.474,0,100,120,100,5,95,93,89
